citations,year,venue,title,link,doi,arxiv_id,paper_id
1,2025,International Symposium for Design,Security Posture Evaluation of Model Context Protocol Servers Against Prompt Injection,https://doi.org/10.1109/siitme67657.2025.11293682,10.1109/siitme67657.2025.11293682,,11d778e096a1716b14afa5915378ad4a25525e77
1,2025,IEEE Access,Securing With Dual-LLM Architecture: ChatTEDU an Open Access Chatbot’s Defense,https://doi.org/10.1109/access.2025.3623268,10.1109/access.2025.3623268,,2d3761e670c3597babbbcd9cf7b88327e07e770b
1,2025,Proceedings of the 20th Workshop o,Secure Model Context Protocol for Large Language Models with Dual Signatures,https://doi.org/10.1145/3737897.3767287,10.1145/3737897.3767287,,8dbb58f3b9d233d4dd7996da359a73fd30f4a5b9
1,2026,IEEE Access,Multi-Criteria Evaluation of Large Language Models (LLMs): Balancing Performance and Security,https://doi.org/10.1109/access.2026.3665546,10.1109/access.2026.3665546,,87357be6223d48473fb253eba563c31e5dffc5c1
1,,,LLM-PIEval: A benchmark for indirect prompt injection attacks in Large Language Models,https://www.semanticscholar.org/paper/c2fe003d159227305ae6d04451f6492ba05f4edb,,,c2fe003d159227305ae6d04451f6492ba05f4edb
1,2025,IEEE Global Engineering Education ,Integrating Generative AI in Cybersecurity Curricula,https://doi.org/10.1109/educon62633.2025.11016426,10.1109/educon62633.2025.11016426,,8c97e50ca4568f7caabb5e39e38acdbc19bc719a
1,2025,IEEE International Conference on E,Hybrid Constitutional Classifiers for Prompt Injection Defense,https://doi.org/10.1109/eit64391.2025.11103606,10.1109/eit64391.2025.11103606,,c18ac188e59bc0f7da13a9932c1311bad911ac4a
1,2026,Future Internet,Evaluation of NeMo Guardrails as a Firewall for User–LLM Interaction,https://doi.org/10.3390/fi18050252,10.3390/fi18050252,,56dc3a66b7e594da2af1bd96cb93e3adf3b9e181
1,2026,International Congress on Informat,Enterprise Secure AI Execution Engine: A Zero-Trust Security Gateway for Enterprise LLM Systems,https://doi.org/10.1109/icict68280.2026.11510713,10.1109/icict68280.2026.11510713,,1ce4b21dda6721f1c94b63ab1b93144a87a9b0ad
1,2025,2025 IEEE 5th International Confer,A Novel Security Framework against Prompt Injection Attacks,https://doi.org/10.1109/ccai65422.2025.11189427,10.1109/ccai65422.2025.11189427,,b67115f4decad83af468d64e67297d1648590c90
